ts,precio,direccion,ganancia_%_lograda
2026-07-11 18:00:00+00:00,1.1171,CORTO,5.2
2026-07-13 22:00:00+00:00,1.0587,LARGO,6.4
2026-07-21 18:00:00+00:00,1.158,CORTO,6.1
2026-08-18 02:00:00+00:00,0.9907,LARGO,32.7
2026-08-20 16:00:00+00:00,1.315,CORTO,6.5
2026-08-20 18:00:00+00:00,1.2294,LARGO,35.3
2026-08-21 11:00:00+00:00,1.3573,LARGO,22.5
2026-08-22 04:00:00+00:00,1.6628,CORTO,13.5
2026-08-22 15:00:00+00:00,1.4391,LARGO,6.0
2026-08-23 00:00:00+00:00,1.5137,CORTO,5.3
2026-08-23 06:00:00+00:00,1.4445,LARGO,5.6
2026-08-23 21:00:00+00:00,1.5257,CORTO,10.1
2026-08-25 02:00:00+00:00,1.5218,CORTO,9.9
2026-08-26 14:00:00+00:00,1.3714,LARGO,6.9
2026-08-27 15:00:00+00:00,1.4659,CORTO,6.4
2026-09-02 12:00:00+00:00,1.3181,LARGO,11.6
2026-09-03 19:00:00+00:00,1.4714,CORTO,5.6
2026-09-09 07:00:00+00:00,1.4412,CORTO,7.8
2026-09-11 11:00:00+00:00,1.3289,LARGO,6.5
